Application Number,,Type of tax credit funding,Project Name,Project Address,Project City,Project Zip Code,Project Phone Number,Project County,California Assembly District,California Senate District,Federal Congressional District,Census Tract,Assessor's Parcel Number (APN),Application Stage,Placed in Service (PIS) Date ,Last Building PIS Date,Construction Type,Housing Type,Total Units,Low Income Units,Number of SRO/Studio Units,Number of 1 Bedroom Units,Number of 2 Bedroom Units,Number of 3 Bedroom Units,Number of 4 Bedroom Units,Number of 5 Bedroom Units,Number of 6 Bedroom Units,Units at or below 20% AMI,Units at or below 30% AMI,Units at 35% AMI,Units at 40% AMI,Units at 45% AMI,Units at 50% AMI,Units at 55% AMI,Units at 60% AMI,Units at 70% AMI,Units at 80% AMI,Owner or Applicant Name,Owner/Applicant Contact,Owner/Applicant Address,Owner/Applicant City,Owner/Applicant State,Owner/Applicant Zip,Owner/Applicant Phone,Owner/Applicant Fax,General Partner (1),General Partner (2),General Partner (3),General Partner (4),General Partner (5),Management Company,Management Company Contact,Management Company Address,Management Company City,Management Company State,Management Company Zip,Management Company Phone,Management Company Fax,Developer,Annual Federal Award,Total State Award,,,,,,
CA-2002-853,,4%,Villa Ramona,"13030 Ramona Blvd., Baldwin Park, CA 91706     ",Baldwin Park,91706,626-814-3455,Los Angeles,48,22,32,4048.01,"8552-001-029, 012, 001, 031, 032, 006, 007, 027",Placed In Service,02/19/04,02/19/04,New Construction,Large Family,71,70,0,27,21,21,2,0,0,,,,,,,,,,,"Baldwin Park Family Housing Limited Partnership, a",Bonnie Young,"2022 South 2100 East, Suite 101",Salt Lake City,UT,84108,801-819-7989,810-819-7888,Thomas L. Safran,Housing Corporation of America,,,,Thomas Safran & Associates,Jordan Pynes,"11812 San Vicente, Suite 600",Los Angeles,CA,90049,310-840-4888,310-207-6968,Thomas Safran & Associates,"$522,176",$0,,,,,,
CA-2014-035,,9%,Baldwin Park Transit Center Apartments,"Ramona Boulevard and Maine Avenue, Baldwin Park, CA, 91706",Baldwin Park,91706,,Los Angeles,48,24,32,,"8554-001-901, 904, 907 and a portion of 8554-001-9",Preliminary Reservation,,,New Construction,Large Family,70,69,0,28,20,22,0,0,0,,7,0,0,18,30,0,14,,,ROEM Development Corporation,Jonathan Emami,1650 Lafayette Street,Santa Clara,CA,95050,4089845600,,,"Pacific Housing, Inc.",,,,FPI Management,Cynthia Wray,800 Iron Point Rd,Folsom,CA,95630,9163575312,9163575310,ROEM Development Corporation,"$1,522,725",$0,,,,,,
CA-1994-147,,9%,Villa Florentina,"4576 Florence Avenue, Bell, CA 90201     ",Bell,90201,213 305-3363,Los Angeles,63,33,40,5338.03,,EXTENDED,12/07/95,12/07/95,New Construction,Large Family,13,12,0,0,4,8,1,0,0,,,,,,,,,,,"Villa Florentina, LLC",John Slevkov,1301 Kashlin Road,Lahabra Height,CA,90631,2133053363,5622876341,John Slevkov,,,,,JS properties,John Slevkov,P.O. Box 2601,Bell Gardens,CA,90201,2133053363,5622876341,MICH Development Company,"$153,218",$0,,,,,,
CA-2002-826,,4%,The Oaks on Florence,"4224 Florence Avenue, Bell, CA 90201     ",Bell,90201,323-560-1222,Los Angeles,63,33,40,5336.03,6225-004-900,Placed In Service,06/19/03,06/19/03,New Construction,Senior,63,62,0,55,8,0,0,0,0,,,,,,,,,,,"Bell Housing Partners, L.P. (SCHDC)",Tracy Thomas,9421 Haven Avenue,Rancho Cucamonga,CA,91730,909-483-2444,909-483-2448,Southern California Housing Development,,,,,National Community Renaissance,Tracy Thomas,9421 Haven Avenue,Rancho Cucamonga,CA,91730,909-483-2444,909-483-2448,The Southern California Housing Dev. Corp.,"$259,197",$0,,,,,,
CA-2016-965,,4%,The Salvation Army Bell Oasis Apartments,"5600 Rickenbacker Road, Bell, CA 90201",Bell,90201,,Los Angeles,63,33,40,5323.04,"Currently part of a larger site: 6332-002-036, 633",Preliminary Reservation,,,New Construction,Non-Targeted,65,64,64,0,0,0,0,0,0,,0,0,0,0,32,0,32,,,"The Salvation Army Bell Oasis Apartments, L.P.",Alen Davtian,"180 E. Ocean Blvd., Suite 500",Long Beach,CA,90802,5622643619,5622643718,The Salvation Army Westwood Village Inc.,,,,,The John Stewart Company,Lori Horn,"888 S Figueroa Street, Suite 700",Los Angeles,CA,90017,2137872710,2138331866,The Salvation Army,"$801,170",,,,,,,
CA-2004-920,,4%,Park View Terrace Senior Apartments,"6722 Clara Street, Bell Gardens, CA 90201     ",Bell Garden,90201,562-928-0348,Los Angeles,58,33,40,5340.02,"6228-028-006,-007,-008,-009,-012",Placed In Service,10/31/07,10/31/07,New Construction,Senior,72,71,0,65,7,0,0,0,0,,,,,,,,,,,"Bell Gardens Housing Partners, L.p., a CA LP",Tracy Thomas,9421 Haven Avenue,Rancho Cucamonga,CA,91730,909-483-2444,909-483-2448,Southern California Housing Development Corporation,,,,,National Community Renaissance,Tracy Thomas,9421 Haven Avenue,Rancho Cucamonga,CA,91730,909-483-2444,909-483-2448,The S. CA Housing Dev. Corp.,"$595,832",$0,,,,,,
CA-2011-854,,4%,Terra Bella,"5720 Clara Street, Bell Gardens, CA 90201     ",Bell Gardens,90201,5629273900,Los Angeles,58,33,40,5342.02,"6227-016-009, 027, 028",Placed in Service,02/26/13,02/26/13,New Construction,Senior,65,64,0,62,3,0,0,0,0,,0,0,0,0,64,0,0,,,Terra Bella LP,Patrick Reyes,"701 E 3rd Street, Suite 400",Los Angeles,CA,90013,2132252756,2132252757,"Terra Bella, GP LLC",,,,,Abode Communtities,Luz Soto,"701 E 3rd Street, Suite 400",Los Angeles,CA,90013,2132252754,2132252755,Abode Communities,"$705,045",$0,,,,,,
CA-2016-871,,4%,Westminster Court,"6850 Florence Avenue, Bell Gardens, CA 90201",Bell Gardens,90201,,Los Angeles,58,33,40,5342.03,6228-029-002,Preliminary Reservation,,,Acquisition/Rehabilitation,Seniors,75,74,18,56,0,0,0,0,0,,0,0,0,0,23,0,51,,,"Westminster Court, L.P.",Orest Dolyniuk,516 Burchett Street,Glendale,CA,91203,8182470420,,"Westminster Court, LLC",,,,,SCPH dba be.group,Orest Dolyniuk,516 Burchett Street,Glendale,CA,91203,8182470420,8182560058,Southern California Presbyterian Homes dba be.group,"$478,910",,,,,,,
CA-2001-925,,4%,Bellflower Terrace,"9920 Flora Vista Street, Bellflower, CA 90706     ",Bellflower,90706,562-866-8866,Los Angeles,58,32,38,5541.05,7109-009-902,Placed In Service,12/31/02,03/31/03,New Construction,Senior,180,178,0,166,14,0,0,0,0,,,,,,,,,,,"9920 Flora Vista Street, L.P.",Lori Koester,5947 Variel Ave,Woodland Hills,CA,91367,818-905-2430,818-905-2440,Corporation for Better Housing,,,,,"CBH Property Management, LLC.",Joanna Ascencio,5947 Variel Ave,Woodland Hills,CA,91367,818-905-2430,818-905-3844,Corporation for Better Housing,"$744,875",$0,,,,,,
CA-2015-867,,4%,Bellflower Friendship Manor,"9550 Oak Street, Bellflower, CA 90706",Bellflower,90706,,Los Angeles,58,32,38,5542.04,7106-002-028,Preliminary Reservation,,,Acquisition/Rehabilitation,Seniors,144,143,84,60,0,0,0,0,0,,0,0,0,0,43,0,100,,,"Bellflower FM Community Partners, LP",Seth Gellis,17782 Sky Park Circle,Irvine,CA,92614,9492368280,7146624412,"FFAH - Bellflower FM, LLC","Bellflower FM GP, LLC",,,,"FPI Management, Inc.",June Valle,"3187 Red Hill Avenue, ST 220",Costa Mesa,CA,92626,7146415110,9168504418,"Community Preservation Partners, LLC","$1,032,050",,,,,,,
CA-1996-909,,4%,Media Village Senior Housing Project,"325 North Third Street, Burbank, CA 91502     ",Burbank,91502,818-848-5519,Los Angeles,43,25,28,3107.02,,Placed In Service,01/26/99,01/26/99,New Construction,Senior,147,144,1,121,25,0,0,0,0,,,,,,,,,,,"Media Village Limited, a CA LP",Robert Gangi,229 E. Palm Avenue,Burbank,CA,91502,818-247-2414,818-247-7259,Media Village Development Corp.,,,,,Media Village Development Corp.,Denise Malobabic,229 E. Palm Avenue,Burbank,CA,91502,818-247-2414,818-247-7259,Media Village Limited,"$339,106",$0,,,,,,
CA-2002-860,,4%,Burbank Senior Artist Colony,"240 E. Verdugo Avenue, Burbank, CA 91502     ",Burbank,91502,818-955-9391,Los Angeles,43,25,28,3118.02,"2453-23-001-004 & 007, 010, 012, 015",Placed In Service,05/02/05,05/02/05,New Construction,Senior,141,43,0,35,9,0,0,0,0,,,,,,,,,,,"Burbank Senior Artist Colony, L.P.",Leanne Truofreh,"151 Kalmus Drive, Suite J-5",Costa Mesa,CA,92626,714-549-4100,714-549-4600,"Western Community Housing, Inc.",Meta Housing Corporation,,,,Legacy Partners,Jody Webber,"5141 California Avenue, Suite 100",Irvine,CA,92617,818-342-1264,310-342-1226,Meta Housing Corporation,"$253,942",$0,,,,,,
CA-2009-192,,9%,Canyon Creek Senior Housing,"4803 El Canon Avenue, Calabasas, CA 91302     ",Calabasas,91302,818-225-8298,Los Angeles,45,27,30,1374.02,2068-004-016,Placed in Service,10/10/11,10/10/11,New Construction,Senior,75,74,0,74,1,0,0,0,0,,,,,,,,,,,"Canyon Creek Seniors, L.P.",Bonnie Young,"2022 South 2100 East, Suite 101",Salt Lake City,UT,84108,801-819-7989,810-819-7888,Canyon Creek Seniors LLC,Housing Corp of America,,,,Thomas Safran & Associates,Jordan Pynes,"11812 San Vicente, Suite 600",Los Angeles,CA,90049,310-840-4888,310-207-6986,Thomas Safran & Assoc,"$1,228,861",$0,,,,,,
CA-1995-045,,9%,Alabama Court,"7440 Alabama Avenue, Canoga Park, CA 91303     ",Canoga Park,91303,818-703-0385,Los Angeles,45,27,30,1345.22,,Extended,10/02/96,10/02/96,,Large Family,43,42,1,11,15,14,1,0,0,,,,,,,,,,,"Alabama Court, LP",Maria Robles,7843  Lankershim Blvd.,North Hollywood,CA,91605,818-982-4091,818-982-3895,LA FAMILY HOUSING CORP,,,,,The John Stewart Management  Company,Donna Lambe,888 S.Figueroa Street.Suite 700,Los Angeles,CA,90017,213-833-1860,213-833-1866,LA Family Housing Corp.,"$367,104",$0,,,,,,
CA-1999-173,,9%,Casa de Canoga Apartments,"20717 S. Vanowen Street, Canoga Park, CA 913070000 ",Canoga Park,91307,818- 887-3386 ;,Los Angeles,45,27,30,1345.22,2137-012-020,Placed In Service,03/24/01,03/24/01,Rehabilitation,Non Targeted,102,101,0,34,62,6,0,0,0,,,,,,,,,,,"Casa de Canoga Apartments, L.P.",Joseph Miller,"3204 Rosemead Blvd., Suite 100",El Monte,CA,91731,626-300-2448,626-458-8941,Brookmore Apartment Corporation,,,,,"CARING Housing Ministries, Inc.",Soraya Diaz,"3204 Rosemead Blvd., Suite 100",El Monte,CA,91731,626-300-2440,626-458-8941,,"$591,774",$0,,,,,,
CA-2000-266,,9%,Vintage Crossing Senior Apartments,"6830 Jordan Avenue, Canoga Park, CA 913032669 ",Canoga Park,91303,818-596-0921,Los Angeles,45,27,30,1345.20,2138006001,Placed In Service,07/30/02,07/30/02,New Construction,Senior,161,128,0,130,0,0,0,0,0,,,,,,,,,,,"Vinyard Crossing  Senior Apartments, L.P.",Kenneth Robertson,3803 E Casselle Ave,Orange,CA,92869,7146281650,7146281657,Riverside Charitable Corp.,,,,,USA Multifamily Management Inc,Victoria Critchfield,3200 Douglas Blvd #200,Roseville,CA,95661,9167243855,9167730529,,"$1,416,343",$0,,,,,,
CA-2003-870,,4%,Tierra del Sol,"7500 Alabama Avenue, Canoga Park, CA 91303     ",Canoga Park,91303,(818) 887-6920,Los Angeles,45,27,30,1345.22,2111-005-028,Placed In Service,06/27/05,06/27/05,New Construction,Large Family,119,118,0,21,47,39,9,3,0,,,,,,,,,,,"New Tierra Del Sol, L.P.",Maggie Cervantes,303 South Loma Drive,Los Angeles,CA,90017,(213) 483-2060,(213) 483-7848,New Economics for Women,Foundation for Affordable Housing,,,,"New Capital, LLC",Sandra Villalobos,303 South Loma Drive,Los Angeles,CA,90017,(213) 484-1008,(213) 483-7848,New Tierra Del Sol L.P.,"$983,673",$0,,,,,,
CA-1993-130,,9%,Avalon Courtyard,"22121 S. Avalon Blvd., Carson, CA 90745     ",Carson,90745,310-522-9858,Los Angeles,64,35,44,5438.02,,Extended,08/02/95,08/02/95,New Construction,Senior,91,91,0,0,0,0,0,0,0,,,,,,,,,,,Avalon Courtyard,Jordan Pynes,11812 San Vicente Blvd.,Los Angeles,CA,90049,310-820-4888,310-207-6986,Thomas L. Safran,,,,,Thomas Safran & Associates,Sue Silva,11812 San Vicente Blvd.,Los Angeles,CA,90049,310-820-4888,310-207-6986,Thomas Safran & Associates Inc.,"$882,097",$0,,,,,,
CA-1999-904,,4%,Carson Terrace,"632 East 219th Street, Carson, CA 907450000 ",Carson,90745,323-665-7870,Los Angeles,64,35,44,5438.02,7335-011-016,Placed In Service,01/06/01,01/06/01,New Construction,Senior,62,61,0,61,1,0,0,0,0,,,,,,,,,,,"Carson Terrace, L.P.",Charles Kim,"800 South Figueroa, Suite 1270",Los Angeles,CA,90017,213-629-9172,213-629-9179,"Los Angeles Housing Partnership, Inc",,,,,The John Stewart Company and Los Angeles Housing P,Lori Horn,"888 S.Figueroa Street, Suite 700",Los Angeles,CA,90017,213-787-2710,213-833-1866,Los Angeles Housing Partnership,"$260,139",$0,,,,,,
CA-2000-808,,4%,Grace Avenue Housing,"555 East Carson Street, Carson, CA 90745     ",Carson,90745,310-847-7737,Los Angeles,64,35,44,5438.02,7337-011-040,Placed in Service,01/27/00,01/27/00,New Construction,Large Family,84,83,0,12,28,38,6,0,0,,,,,,,,,,,"Grace Housing, LP",Bonnie Young,"2022 South 2100 East, Suite 101",Salt Lake City,UT,84108,801-819-7989,810-819-7888,Thomas L. Safran,,,,,Thomas Safran & Associates,Jordan Pynes,"11812 San Vicente, Suite 600",Los Angeles,CA,90049,310-840-4888,310-207-6968,Thomas Safran,"$517,137",$0,,,,,,
CA-2000-809,,4%,The Villaggio II,"555 East Carson Street, Carson, CA 90745     ",Carson,90745,310-847-7737,Los Angeles,64,35,44,5438.02,7337-011-41,Placed in Service,03/09/00,03/09/00,New Construction,Large Family,65,64,0,10,16,36,3,0,0,,,,,,,,,,,"Carson Housing, LP",Bonnie Young,"2022 South 2100 East, Suite 101",Salt Lake City,UT,84108,801-819-7989,810-819-7888,Thomas L. Safran,,,,,Thomas Safran & Associates,Jordan Pynes,"11812 San Vicente, Suite 600",Los Angeles,CA,90049,310-840-4888,310-207-6968,Thomas Safran,"$411,079",$0,,,,,,
CA-2009-539,,9% ARRA,Carson City Center Senior Housing,"708 E. Carson Street, Carson, CA 90745     ",Carson,90745,310-522-4343,Los Angeles,64,35,44,5438.02,"7332-001-001, 002, 003, 004",Placed in Service,04/15/11,04/15/11,New Construction,Senior,86,85,0,85,1,0,0,0,0,,,,,,,,,,,"Carson City Center Senior Housing, L.P.",Bonnie Young,"2022 South 2100 East, Suite 101",Salt Lake City,UT,84108,801-819-7989,810-819-7888,Carson City Center LLC,Housing Corporation of America,,,,Thomas Safran & Associates,Jordan Pynes,"11812 San Vicente, Suite 600",Los Angeles,CA,90049,310-840-4888,310-207-6986,Thomas Safran & Associates,"$1,200,500",$0,,,,,,
CA-2010-246,,9%,East Carson Housing,"415 E Carson Street, Carson, CA 90745     ",Carson,90745,310-522-9606,Los Angeles,64,35,44,5438.02,"7334-018-900, 901, 902",Placed in Service,05/23/12,05/23/12,New Construction,Large Family,65,64,0,12,33,20,0,0,0,,,,,,,,,,,"East Carson Housing Partners, L.P.",Jonathan Webb,"Affordable Housing  Access   4029 Westerly Place,",Newport Beach,CA,92660,949-253-3120,949-253-3125,"Related/East Carson Development Co., LLC","East Carson Housing Partners MGO, LLC",,,,Related Management Company,Kim Chase,"18201 Von Karman Ave, Ste 900",Irvine,CA,92612,949-660-0390,949-660-0391,Related Development Company,"$1,124,194",$0,,,,,,
CA-2012-039,,9%,Carson Family Housing,"21227 S. Figueroa Street, Carson, CA 90745",Carson,90745,2134836654,Los Angeles,64,35,44,5435.01,"7343-007-051, 052 and 7343-007-903",Placed In Service,03/06/14,03/06/14,New Construction,Large Family,40,39,0,14,12,14,0,0,0,,4,0,4,4,14,0,13,,,"Carson Family Housing, L.P.",Ann Scott,"13520 Evening Creek Drive North, Suite 160",San Diego,CA,92128,8583865170,8586799076,"Affirmed Housing Group, Inc.",,,,,"Solari Enterprises, Inc.",Gianna Solari,1572 N. Main Street,Orange,CA,92867,(714) 282-2520,(714) 282-2521,"Affirmed Housing Group, Inc.","$574,561",,,,,,,
CA-2013-071,,9%,East Carson II Housing,"401 E. Carson Street, Carson, CA 90745",Carson,90745,5105690239,Los Angeles,64,35,44,5438.02,"7334-018-903, 7334-018-033; & 7334-018-034",Placed In Service,12/30/14,12/30/14,New Construction,Large Family,40,40,0,8,20,12,0,0,0,,4,0,8,0,16,0,12,,,"East Carson II Housing Partners, L.P.",Frank Cardone,"18201 Von Karman Avenue, Suite 900",Irvine,CA,92612,9496607272,9496607273,"Related East Carson II Development Co., LLC","East Carson II Housing Partners MGP, LLC",,,,Related Management Company,Israel Mata,"18201 Von Karman Avenue, Suite 900",Irvine,CA,92612,9496600390,9496600391,Related Development Company of California,"$1,008,977",,,,,,,
CA-2016-004,,9%,401 Sepulveda,"401 E. Sepulveda Blvd, Carson, CA 90745",Carson,90745,,Los Angeles,64,35,44,5437.02,7406-002-039; 7406-013-016,Preliminary Reservation,,,New Construction,Seniors,65,64,0,58,6,0,0,0,0,,7,0,10,10,17,0,20,,,"Affirmed Housing Group, Inc.",James Silverwood,"13520 Evening Creek Drive North, Suite 160",San Diego,CA,92128,8583865175,,"Affirmed Housing Group, Inc.",NEXUS for Affordable Housing,,,,"Solari Enterprises, Inc.",Gianna Solari,1507 Yale Avenue,Orange,CA,92867,7142822520,7142822517,"Affirmed Housing Group, Inc.","$1,312,412",,,,,,,
CA-2017-076,,9%,Veteran's Village of Carson,"600 W. Carson Street, Carson, CA 90745",Carson,90745,,Los Angeles,64,35,44,5435.01,"7343-020-064 through 7343-020-066 inclusive, 7343-",Preliminary Reservation,,,New Construction,Large Family,51,50,0,24,13,14,0,0,0,,5,0,5,15,8,0,17,,,Carson Figueroa Affordable Housing LP,Andrew Gross,"11812 San Vicente Blvd, Suite 600",Los Angeles,CA,90049,3108204888,3102076986,Carson Figueroa Affordable Housing LLC,Housing Corporation of America,,,,Thomas Safran & Associates Inc.,Jordan Pynes,"11812 San Vicente Blvd., Suite 600",Los Angeles,CA,90049,3108204888,3102076986,"Thomas Safran & Associates Development, Inc.","$1,600,927",,,,,,,
CA-2017-149,,9%,Carson Colony,"21205 Main Street, Carson, CA 90745",Carson,90745,,Los Angeles,64,35,44,5435.01,7343-001-040 & 7343-001-041,Preliminary Reservation,,,New Construction,Large Family,46,45,0,21,13,12,0,0,0,,9,5,5,5,0,0,21,,,"21205 Carson Arts, L.P.",Chris Maffris,"1640 S. Sepulveda Blvd., Suite 425",Los Angeles,CA,90025,3105753543,,"WCH Affordable XXX, LLC","21205 Carson Arts, LLC",,,,WSH Management,Kim Pollack,"18881 Von Karman Ave., Ste. 720",Irvine,CA,92612,9497488201,,Meta Housing Corporation,"$1,475,371",,,,,,,
CA-2019-422,,4%,Carson Terrace Senior Apartments,"632 E. 219th St., Carson , CA 90745",Carson ,90745,,Los Angeles,64,35,44,2982.00,7335-011-016,Preliminary Reservation,,,Acquisition & Rehabilitation,Seniors,63,62,0,62,1,0,0,0,0,0,0,0,0,0,13,0,49,0,0,"Carson Terrace Partners, L.P",Rick Westberg,420 31 St. Suite B1,Newport Beach ,CA,92663,9496127293,,"Carson Terrace GP, LLC",Los Angeles Housing Partnership,,,,Richman Property Services,Theresa Eastwood Davis,"4350 W. Cypress Street, #340",Tampa,FL,33607,8132620404,,The Richman Group,"$453,355",,,,,,,
